nct_id,title,description,eligibility,status,why_stopped,outcome
NCT05744375,Trastuzumab Deruxtecan in First-line HER2-positive Locally Advanced/MBC Patients Resistant to Trastuzumab+Pertuzumab,"The goal of this national, multicenter single arm phase II clinical trial is to study the efficacy, safety and tolerability of the administration of Trastuzumab Deruxtecan (T-DXd) in HER2-positive locally advanced or metastatic breast cancer (MBC) patients resistant to trastuzumab plus pertuzumab plus taxane due to early relapse.

The main questions it aims to answer are:

* To evaluate the antitumor activity of T-DXd in the first-line treatment of HER2-positive breast cancer patients resistant to trastuzumab-pertuzumab based therapy.
* To assess other efficacy measures.
* To evaluate safety and tolerability in all patients enrolled in the study.
* To evaluate health-related quality of life (HRQoL). Forty-one evaluable patients will be treated with trastuzumab deruxtecan (T-DXd) 5.4 mg/kg IV every 3 weeks (± 3 days). Patients will receive T-DXd until unacceptable toxicity, progressive disease, informed consent withdrawal, or other discontinuation criterion is met.","Inclusion Criteria:

1. Written and signed informed consent obtained prior to any study-specific procedure.
2. Male or female patients of at least 18 years of age.
3. Eastern Cooperative Oncology Group (ECOG) Performance Status ≤ 1.
4. Life expectancy ≥ 12 weeks.
5. Recurrent breast cancer that is unresectable locally advanced or metastatic.
6. Pathologically documented HER2-positive status by local laboratory determination, preferably on the most recent available Formalin-fixed paraffin-embedded (FFPE) tumor sample, according to the American Society of Clinical Oncology (ASCO)/College of American Pathologists (CAP) international guidelines valid at the time of the assay. In case of discordance in HER2 status in different biopsies, the result from the most recent biopsy will be used.
7. Pathologically documented Hormone Receptor (HR)-positive or -negative by local laboratory determination, preferably on the most recent available FFPE tumor sample, and according to ASCO/CAP international guidelines valid at the time of the assay. In case of discordance in HR status in different biopsies, the result from the most recent biopsy will be used.
8. Prior anti-HER2 based therapy (with trastuzumab plus pertuzumab plus taxane with or without trastuzumab-emtansine) in the (neo)adjuvant setting with a relapse while on therapy or within 12 months from the end of last anti-HER2 therapy.
9. Measurable disease assessed by the investigator based on RECIST version 1.1.
10. Left ventricular ejection fraction (LVEF) ≥ 50% measured by multiple-gated acquisition scan (MUGA) or echocardiogram (ECHO).
11. Adequate organ and marrow function defined as follows:

    1. Absolute Neutrophil Count (ANC) ≥ 1,500/mm3 (1.5x109/L).
    2. Platelet count ≥ 100,000/mm3 (100x109/L).
    3. Hemoglobin ≥ 9g/dL (90g/L).
    4. Creatinine clearance ≥ 30 mL/min as calculated using the standard method for the institution.
    5. Total serum bilirubin ≤ 1.5 × upper limit of normal (ULN) if no liver metastases or \< 3 × ULN in the presence of documented Gilbert's syndrome (unconjugated hyperbilirubinemia) or liver metastases at baseline.
    6. Aspartate aminotransferase (AST) and/or alanine aminotransferase (ALT) ≤ 3.0 x ULN (\< 5.0 × ULN in participants with liver metastases).
    7. Alkaline phosphatase (ALP) ≤ 2.5 x ULN (≤ 5.0 x ULN if bone or liver metastases are present).
    8. Serum albumin ≥ 2.5 g/dL
12. International normalized ratio (INR) and activated partial thromboplastin time (aPTT) ≤ 1.5 x ULN.
13. Willingness and ability to comply with scheduled visits, treatment plan, laboratory tests and other study procedures.
14. Negative serum pregnancy test with a sensitivity of at least 25 milliInternational Units per milliliter of urine (mIU/mL) (unless permanent previous sterilization procedure such as bilateral salpingectomy, bilateral oophorectomy, or complete hysterectomy) for premenopausal women, and for women who have experienced menopause onset \< 12 months prior to first dose of therapy.

Exclusion Criteria:

1. Prior chemotherapy or HER2-targeted therapy for locally advanced or MBC (one prior endocrine therapy regimen for MBC without concurrent anti-HER2 therapy or radiotherapy is allowed).
2. Ineligible for treatment with T-DXd.
3. Any substance abuse or other medical conditions that, in the investigator's opinion, may interfere with patient's participation or study results.
4. Patients with spinal cord compression, leptomeningeal disease or clinically active central nervous system (CNS) metastases. Participants with clinically inactive brain metastases or treated brain metastases that are no longer symptomatic, and no needing corticosteroids or anticonvulsants may be enrolled in the study.
5. Active or prior documented interstitial lung disease (ILD)/pneumonitis or suspected ILD/pneumonitis that cannot be ruled out by imaging at screening.
6. Lung criteria:

   1. Lung-specific intercurrent clinically significant illnesses including, but not limited to, any underlying pulmonary disorder (e.g. pulmonary emboli within three months of the study enrollment, severe asthma, severe Chronic obstructive pulmonary disease (COPD), restrictive lung disease, pleural effusion etc.).
   2. Any autoimmune, connective tissue or inflammatory disorders (e.g. Rheumatoid arthritis, Sjogren's, sarcoidosis etc.) where there is documented, or a suspicion of pulmonary involvement at the time of screening. Full details of the disorder should be recorded in the electronic Case Report Form (eCRF) for patients who are enrolled in the study.
   3. Prior pneumonectomy.
7. Medical history of myocardial infarction within 6 months before registration, symptomatic congestive heart failure (CHF), troponin levels consistent with myocardial infarction as defined according to American College of Cardiologists (ACC) guidelines, unstable angina, or serious cardiac arrhythmia requiring treatment. QT interval corrected using Fridericia's formula (QTcF) \> 470 msec (females) or \> 450 msec (males) based on average of the screening triplicate 12-lead ECG.
8. History of active primary immunodeficiency, known Human Immunodeficiency Virus (HIV), active Hepatitis B Virus (HBV) or Hepatitis C Virus (HCV).
9. Patients who received before treatment starts:

   1. Any investigational agent within 4 weeks.
   2. Chemotherapy within a period of time that is shorter than the cycle duration used for that treatment (e.g. \< 3 weeks for fluorouracil, doxorubicine, epirubicin or \< 1 week for weekly chemotherapy).
   3. Targeted therapy (e.g., antibodies): up to 4 weeks prior to starting study treatment.
   4. Endocrine therapy: tamoxifen or aromatase inhibitor within 2 weeks prior to starting study treatment.
   5. Radiotherapy within 2 weeks prior to starting study treatment. Patients who received prior radiotherapy to \>25% of bone marrow are not eligible regardless of when it was administered.
   6. Major surgery or other anti-cancer therapy not previously specified within 4 weeks prior to starting study treatment.

   In any case, resolution of all acute toxic effects of prior anti-cancer therapy or surgical procedures to NCI-CTCAE version 5.0 grade ≤ 1 (except alopecia or other toxicities not considered a safety risk for the patient at investigator´s discretion) is mandatory.Patients may be enrolled with chronic, stable grade 2 toxicities (defined as no worsening to \> grade 2 for at least 3 months prior to enrollment and managed with standard of care treatment) that the investigator deems related to previous anticancer therapy, such as: chemotherapy-induced neuropathy or fatigue and immunotherapy-induced toxicities (e.g. endocrinopathies as hypothyroidism/hyperthyroidism, type 1 diabetes, hypoglycemia, adrenal insufficiency, adrenalitis and skin hypopigmentation \[vitiligo\]).
10. Have a diagnosis of any other malignancy within 3 years prior to inclusion, except for adequately resected non-melanoma skin cancer, curatively treated in-situ disease, other solid tumors curatively treated and contralateral breast cancer.
11. Receipt of live, attenuated vaccine within 30 days prior to the first dose of T-DXd.
12. Prior treatment with T-DXd or allergic reaction to trastuzumab.
13. Patient is pregnant or breastfeeding or planning to become pregnant within the projected duration of the trial, starting at screening and through 7 months after the last dose of the study treatment. Male patients whose partners plan to become pregnant within the duration of the trial, starting at screening and through 4 months after the last dose of the study treatment.

    ✓ For premenopausal women it is necessary an agreement to remain complete abstinent or use single or combined non-hormonal contraceptive methods that result in a failure rate of \< 1% per year during the treatment period and for at least 7 months after the last dose of study treatment.
    * Examples of non-hormonal contraceptive methods with a failure rate of \< 1% per year include bilateral tubal litigation, male sterilization, and certain intrauterine devices (provided coils are copper banded).
    * Alternative, two methods (e.g. two barrier methods such as a condom and a cervical cap or combined with estrogen and progestogen) may be combined to achieve a failure rate of \< 1% per year. Barrier methods must always be supplemented with the use of a spermicide.

    Female patients must not donate, or retrieve for their own use, ova from the time of enrollment and throughout the study treatment period, and for at least 7 months after the final study drug administration. They should refrain from breastfeeding throughout this time. Preservation of ova may be considered prior to enrollment in this study.

    ✓ For men it is necessary an agreement to remain complete abstinent (refrain from heterosexual intercourse) or use contraceptive measures, and to refrain from donating sperm during the same period, as defined below with female partners of childbearing potential or pregnant female partners, men must remain abstinent or use a condom during the treatment period and for at least 4 months after the last dose of study treatment to avoid exposing the embryo.

    Abstinence is only acceptable if it is in line with the preferred and usual lifestyle of the patient. Periodic abstinence (e.g., calendar, ovulation, symptothermal, or postovulation methods) and withdrawal are not acceptable methods of contraception.
14. Uncontrolled intercurrent illness including uncontrolled infection requiring intravenous (IV) antibiotics, antivirals, or antifungals.
15. Has substance abuse or any other medical/psychological conditions that may, in the opinion of the investigator, interfere with the patient's participation in the clinical study or evaluation of the clinical study results.",TERMINATED,"The study stopped due to insufficient accrual (only two patients were included), and the sponsor has decided on its premature termination.",0
NCT05708573,Potential Drug Interaction Between ALXN2040 and Rosuvastatin,This study will assess the potential drug-drug interaction (DDI) between ALXN2040 and rosuvastatin.,"Inclusion Criteria:

* Medically healthy participants with no clinically significant or relevant abnormalities as determined by medical history, physical examination, vital signs, 12-lead electrocardiogram (ECG), and clinical laboratory safety evaluation (hematology, biochemistry, coagulation, and urinalysis) that is reasonably likely to interfere with participation in or ability to complete the study, or to potentially confound interpretation of study results, as assessed by the Investigator.
* Body mass index (BMI) within the range 18 to 32 kg/m\^2 (inclusive), with a minimum body weight of 50.0 kg at Screening.

Exclusion Criteria:

* History of any medical or psychiatric condition or disease that, in the opinion of the Investigator, might limit the participant's ability to complete or participate in this clinical study, confound the results of the study, or pose an additional risk to the participant by their participation in the study.
* History of meningococcal infection.
* History of drug or alcohol abuse within 2 years prior to first dose of study intervention, or positive drugs-of-abuse or alcohol screen at Screening or Day -1.
* Current tobacco users or smokers or a positive cotinine test at Screening.
* Any major surgery within 8 weeks of Screening.
* Donation of whole blood from 3 months prior to first dose, or of plasma from 30 days prior to first dose of study intervention.
* History of malignancy within 5 years prior to Screening.
* Evidence of human immunodeficiency virus (HIV) infection (HIV antibody positive) at Screening.
* Evidence of hepatitis B (positive hepatitis B surface antigen or positive core antibody with negative surface antibody) or hepatitis C viral infection (hepatitis C virus antibody positive) at Screening.
* Female participant who is pregnant, breastfeeding, or intending to conceive during the course of the study.",COMPLETED,,1
NCT00225056,Phase II Study of Capecitabine and Weekly Docetaxel Followed by Capecitabine Maintenance for Patients With Metastatic Breast Carcinoma,"In this phase II study, we plan to evaluate the efficacy, safety and tolerability of weekly docetaxel and capecitabine on a 21-day cycle followed by maintenance single agent capecitabine for the treatment of metastatic breast cancer, Based on the efficacy and toxicity of the combination regimen dosages previously reviewed; weekly docetaxel 30mg/m2 on days 1 and 8 plus capecitabine 1600mg/m2 (800mg/m2 orally twice daily)on day 1 through 14 of each cycle will be utilized.","Inclusion Criteria:

* must have metastatic breast cancer
* must have cytologically or pathologically confirmed invasive ductal or lobular carcinoma
* must have measurable or evaluable disease
* ECOG of 0-1
* patients may have received 0, 1. or 2 prior treatments for metastatic breast cancer
* must have adequate organ function
* must be at least 19 years of age
* peripheral neuropathy less than or equal to grade 1
* must have voluntarily signed informed consent
* patients with brain metastases are eligible provided that other measurable disease exists and brain lesions are controlled

Exclusion Criteria:

* patients with other malignancies, except non melanoma of the skin, who have had any evidence of cancer within the last 5 years
* patients with psychiatric illness or other concurrent severe co-morbid medical condition that would preclude study completion
* known uncontrolled existing coagulopathy
* patients with a history of severe hypersensitivity reaction to docetaxel, medications formulated with polysorbate 80 or 5-fluorouracil
* use of other investigational agents in the last 28 days
* pregnant or lactating women
* patients who are known HIV positive
* patients with life expectancy of less than 3 months
* sexually active patients unwilling to practice reliable contraception during the study",TERMINATED,Terminated due to lack of accrual,0
NCT00128856,"Gemcitabine, Doxorubicin and Paclitaxel (GAT) as Neoadjuvant Treatment of Breast Cancer Patients","This is a multicenter, open-label, phase II trial to assess the efficacy of the GAT neoadjuvant regimen in patients with stage III breast cancer.","Inclusion Criteria:

* Stage III breast cancer disease, with histological confirmation by true-cut or open-biopsy.
* Ages between 18 and 75 years old. Patients older than 70 must have an adequate quality of life to be eligible.
* Patients cannot have received previous treatment with chemotherapy, hormone therapy, radiotherapy or immune therapy.
* Performance status of 0,1, 2 Eastern Cooperative Oncology Group (ECOG).
* At least a 6 month life expectancy.
* Neutrophils \> 1500; platelets \> 100000; haemoglobin \> 10 mg/dL.
* Adequate renal and hepatic functions, with serum creatinine \< 1.2 mg/dl and total bilirubin \< 2 mg/dl.
* Adequate contraceptive methods during the study and up to 3 months after.
* Adequate cardiac function assessed by physical exam, electrocardiogram and left ventricular ejection fraction \> 55%.

Exclusion Criteria:

* Inflammatory carcinoma or stage I, II or IV breast cancer disease.
* Males.
* Active infection.
* Other neoplasms except for basal skin carcinoma or cervical in situ carcinoma adequately treated. Other previous neoplasms are allowed if diagnosed and treated more than 5 years before study registration.
* Concomitant serious disease provoking organ failure (heart, renal, hepatic, respiratory).
* Pre-existing motor or sensorial neuropathy \> grade 1.
* Inability for treatment compliance.
* History of hypersensitivity to compounds such as cremophor, cyclosporine or vitamin K.
* History of arrhythmias or congestive heart failure, even when controlled; or active cardiac blocking of second or third grade.
* History of myocardial infarction in the previous 6 months.
* Hypertension not controlled.
* Pregnant or lactating women.",COMPLETED,,1
NCT03916068,Acute Post-Radiation Hyperbaric Oxygen (HBO2) for Breast Cancer Patients Who Have Recently Completed Radiation Therapy,This study aims to compare patients that receive hyperbaric oxygen or Trental and Vitamin E immediately after completion of radiation therapy to evaluate which treatment best reduces radiation fibrosis.,"Inclusion Criteria:

* \> 18 years of age
* Patient is currently undergoing treatment for breast cancer and is on one of two pathways:

  * Pathway 1 involves lumpectomy with radiation therapy, recurrence years later, mastectomy and tissue expander with further radiation therapy
  * Pathway 2 involves mastectomy and tissue expander, 6 weeks of radiation therapy, and an implant in 6 months
* Undergone mastectomy with expander or implant reconstruction \> 2 weeks before starting radiation therapy
* Completed chest wall irradiation in the past 3 days
* Willing to stop herbal medications as directed by provider
* Willing to stop daily use of supplemental vitamin E (Multivitamin with vitamin E component is acceptable, vitamin E cream is also acceptable)
* Willing to have photographs of chest area taken for research purposes only
* Therapeutic PT-INR for participants taking Coumadin
* If tissue expanders remain intact during radiation, plan for conversion to the final implants must occur \> 4 months after completing radiation
* Willing to travel to a Legacy Health facility for study related visits
* Agree to attend study visits outside of standard of care visits, if needed
* Willing to engage in pre/post testing and survey/phone calls
* Willing to attend all 6 weeks of HBOT if randomized to that group

Exclusion Criteria:

* \< 18 years of age
* Pregnant or lactating
* Have final implant placed \< 2 weeks before start of radiation therapy
* Plan to place final impacts \< 4 months from the completion of radiation therapy, if tissue expanders are intact during radiation therapy
* Have evidence of ongoing infection or implant exposure before start of radiation therapy
* Radiation completed more than 3 days prior to study start
* Unable to comply with protocol
* Unable to provide written informed consent
* Unwilling or unable to stop oral supplemental Vitamin E
* PT-INR outside of acceptable range for participants taking Coumadin
* Any delay in radiation treatment greater than 14 days
* Investigator does not believe study participation is in the best interest of the patient
* History of a seizure within the last 5 years",TERMINATED,Insufficient enrollment,0
NCT05016310,A Study of High-Dose Vit D Versus Standard of Care Vit D Supplementation,This is a randomized study evaluating the effects of early intensive vitamin D supplementation compared to standard of care vitamin D supplementation on bone health over an 18 month period.,"Inclusion Criteria

Subject must meet all of the following applicable inclusion criteria to participate in this study:

1. Written informed consent and HIPAA authorization for release of personal health information. NOTE: HIPAA authorization may be included in the informed consent or obtained separately.
2. Age; 45 years at the time of consent
3. Female
4. Histological or cytological confirmation of breast cancer clinical or pathologic stages 0-III
5. Patient has been recommended to initiate systemic therapy for breast cancer. It is preferable for patient to enroll prior to systemic therapy initiation. However, enrollment will be allowed if systemic therapy has been initiated within 4 weeks prior to enrollment (randomization).

   Note: Patients who undergo only surgery and/or radiotherapy alone would not qualify for the study.
6. Systemic therapy for breast cancer is planned
7. As determined by the enrolling physician, ability of the subject to understand and comply with study procedures for the entire length of the study
8. Previous vitamin D supplementation allowed, as long as patient is agreeable to stop previous dosing at the time of trial enrollment, to comply with trial procedures including a baseline 25(OH)D level, and is otherwise determined to be appropriate for enrollment

Exclusion Criteria

Subjects meeting any of the criteria below may not participate in the study:

1. Uncontrolled intercurrent illness/medical condition or psychiatric illness/social situations that would limit compliance with study requirements as determined by the Investigator
2. Patients will undergo breast surgery and/or radiotherapy alone without planned neoadjuvant and/or adjuvant anti-cancer drug therapy.
3. Baseline 25(OH)D level \<10ng/mL or \>80ng/mL
4. Baseline serum corrected calcium level of \>10.3mg/dL
5. Bone mineral density less than the expected range for age on baseline DEXA scan (defined as Z-score \</= -2.0)
6. Breast cancer with distant metastasis
7. History of previous breast cancer
8. Postmenopausal, as confirmed by the lack of menses \>/=12 months and/or ovarian function laboratories (estradiol, FSH) consistent with menopause (if any of two values outside of menopausal range and subject had menses within 12 months, subject would be considered perimenopausal or premenopausal and therefore eligible for enrollment)
9. Pregnancy or lactation
10. History of bone disease, including Paget's bone disease or osteomalacia
11. Concurrent rheumatoid or other inflammatory arthritis
12. Concurrent or prior treatment with bisphosphonates
13. Use of oral corticosteroids within the last 30 days prior to randomization
14. Concurrent treatment for thyroid deficiency
15. BMI \<18.5
16. Currently receiving treatment for tuberculosis, or planning to receive treatment for tuberculosis during breast cancer treatments
17. History of another primary cancer that required systemic treatment within the last 5 years
18. Any of the following kidney diseases at the time of randomization: active chronic kidney disease \>/= stage 3, history of kidney stones, sarcoidosis
19. Gastrointestinal disease that would limit the absorption of pill therapy (i.e. celiac disease, gastric bypass surgery)",COMPLETED,,1
NCT05399160,Effect of Nurse-led Supportive Care on Quality of Life,"Breast cancer is the most common type of cancer in women with a high mortality rate in the world. The several methods are used in the treatment of breast cancer. One or more of these methods can be preferred according to the characteristics of women with breast cancer. Women may experience many different physiological and psychological symptoms during each treatment process.This situation negatively affects the quality of life of women with breast cancer. For this reason, there is a need for an intervention that could improve quality of life in women with breast cancer. In the literature, it is stated that nurse-led supportive care can be an effective nursing intervention to improve the quality of life in women with breast cancer.","Inclusion Criteria:

* 18 years and older women,
* Stages II or III breast cancer
* Having breast cancer surgery
* Planned to receive chemotherapy
* Able to use a phone
* Who agreed to participate in the study

Exclusion Criteria:

* Having communication problems
* Having psychological diseases
* Receiving any supportive care",COMPLETED,,1
NCT00005879,LY353381 in Preventing Breast Cancer in Women With Hyperplasia,"RATIONALE: Chemoprevention therapy is the use of certain drugs to try to prevent the development or recurrence of cancer. The use of LY353381 may be an effective way to prevent the development of breast cancer in women who have hyperplasia.

PURPOSE: Randomized phase II trial to study the effectiveness of LY353381 in preventing breast cancer in women who have hyperplasia.","DISEASE CHARACTERISTICS:

* Current random fine needle breast aspiration (FNA) evidence of 1 of the following:

  * Hyperplasia with atypia
  * Hyperplasia without atypia but with a 10-year modified Gail risk of at least 4%
  * Hyperplasia without atypia but with a BRCAPRO risk of at least 25%
  * Hyperplasia without atypia but with a known mutation in BRCA1 or BRCA2
  * Hyperplasia without atypia but with a history of contralateral ductal carcinoma in situ or invasive breast cancer
* FNA must have been taken during days 1-14 of the menstrual cycle for premenopausal women
* Classified as ACR class I-III on mammogram with stepwedge within past 6 months If intact uterus and/or ovaries, must have color doppler transvaginal pelvic sonogram within past 6 months showing endometrial thickening no greater than 13 mm premenopausal or no greater than 8 mm postmenopausal

  * No ovarian cysts felt to be possibly or probably non-physiologic that have not resolved to gynecologist's satisfaction on repeat sonogram
* Must agree to have or have had genetic counseling and genetic testing performed for BRCA1 and BRCA2
* No active cancer (e.g., detectable disease)
* Hormone receptor status:

  * Not specified

PATIENT CHARACTERISTICS:

Age:

* 18 and over

Sex:

* Female

Menopausal status:

* Any

Performance status:

* Not specified

Life expectancy:

* At least 12 months

Hematopoietic:

* Hemoglobin greater than 10 g/dL
* Granulocyte count greater than 1,000/mm\^3
* No deficiencies in protein C, protein S, or antithrombin III
* No activated protein C resistance

Hepatic:

* Albumin greater than 3.0 g/dL
* Bilirubin less than 1.5 mg/dL
* AST less than 100 U/L
* Alkaline phosphatase less than 200 U/L

Renal:

* Creatinine less than 1.5 mg/dL

Cardiovascular:

* No history of deep venous thrombosis not related to trauma or pregnancy
* No severe coronary artery disease
* No history of prior stroke

Other:

* Not pregnant or nursing
* Negative pregnancy test
* Fertile patients must use effective contraception during and for 3 months after study
* No other active cancer
* No retinal vein thrombosis
* No concurrent severe poorly controlled migraine
* No factor V Leiden mutation carrier

PRIOR CONCURRENT THERAPY:

Biologic therapy:

* At least 12 months since prior immunotherapy

Chemotherapy:

* At least 3 months between completion of prior KUMC phase II difluoromethylornithine (DFMO) study and baseline aspiration
* At least 12 months since prior chemotherapy

Endocrine therapy:

* Must not have started or stopped hormone replacement therapy or oral contraceptives within 6 months of baseline aspiration
* Must continue all hormone replacement therapy and/or oral contraceptives that were being taken at time of baseline aspiration
* At least 12 months since prior tamoxifen, raloxifene, or other antihormonal therapy

Radiotherapy:

* At least 3 months since prior radiotherapy

Surgery:

* At least 6 months between prior oophorectomy and baseline aspiration

Other:

* At least 2 weeks since the start of other new medication that would be ingested for 1 or more months",COMPLETED,,1
NCT04324346,Central Catheters Used for Chemotherapy in Women With Breast Cancer,"The overall aim of this study is to evaluate two different central venous lines, PICC-lines (PICC) and subcutaneous venous access ports (SVAP) used for chemotherapy in women with breast cancer. The study will compare complications, material wear of the catheters used, patients'- and health care professionals' experiences, and costs. The study will give knowledge about which central venous access that is the most advantageous regarding adjuvant chemotherapy for women with breast cancer in the aspects of safety, quality of care, and quality of life.","Inclusion Criteria:

* adjuvant or neo adjuvant chemotherapy,
* speak Swedish

Exclusion Criteria:

* cognitive dysfunction
* and/or inability to understand Swedish,
* recurrent breast cancer",COMPLETED,,1
NCT03472794,Adaptation of a Knowledges Exchange Portal Between (KEP) Healers and Patients : Obstacles and Sources to KEP Use for Breast Cancer Women,"The project is imbued with the whole problematic of patient follow-up and patient support, taking into account the experiences and needs of breast cancer patients. It concerns the dissemination of knowledge through the implementation of a specific clinical innovation designed to optimizing breast cancer patient pathway. The "" Patients en réseau "" association offers us to participate at the web platform evolution Mon Réseau Cancer du Sein in adapting it. The feasibility study focuses on (1) the platform utilization and (2) sources and obstacles to its utilization in the French context","Inclusion criteria of patients :

* Age ≥ 18 y.o;
* With a diagnosis of breast cancer,
* treated at the Bergonié Institute;
* Patients who express a non-opposition to participate to SAVAQ research;
* Patients who have an Internet access at home.

Inclusion criteria of healers :

\- Doctors, Nurse, Senior health manager, Technologist medical imaging from the center participated to the research

Exclusion criteria of patients:

* Patients with a severe psychiatric pathology (medical diagnosis);
* Patients who doesn't speak French",COMPLETED,,1
NCT00403988,Vinorelbine and Oxaliplatin (Vinox) With or Without Trastuzumab (Herceptin®) in Advanced Breast Carcinoma,"Study Objective :

To assess the efficacy and the safety of the combination of Oxaliplatin, and Vinorelbine with or without Trastuzumab as a salvage regimen in patients with Metastatic Breast Cancer","Inclusion Criteria:

* Metastatic, histologically or cytologically proven breast cancer.
* At least one bi-dimensionally measurable lesion.
* Previous treatment with chemotherapy as first line for metastatic disease is mandatory especially with anthracyclines +/- the Taxanes.
* Treatment as adjuvant is allowed.
* World Health Organization-ECOG performance status 0-2.
* Adequate renal function (Creatinine \<= 1.4 or Creatinine clearance \>= 30 ml/min)
* Adequate hepatic function (Liver Function Tests not more than 3 times the normal values)
* Adequate bone marrow reserve is required (Neutrophils (PMN) \>= 2000/mm2 and Platelets \>= 100,000/mm2)
* Patient who will receive Herceptin should have an over-expression of HER2-neu.

Exclusion Criteria:

* Symptomatic peripheral neuropathy (National Cancer Institute common toxicity criteria grade more than one).
* Pregnant or breast-feeding.
* History of prior malignancies (with the exception of excised cervical carcinoma-in-situ or non-melanoma cell skin carcinoma).
* Receiving or had received, any treatment with experimental drugs.
* Had known brain or leptomeningeal involvement.
* Had a serious medical condition like congestive heart failure or an Ejection Fraction ≥ 40 %.
* The presence of bone as a sole site of metastasis.
* Radiation therapy to all areas of measurable disease less than four weeks before treatment.
* Creatinine two times above the normal range
* Hypercalcemia
* Evaluable but not a measurable disease as a sole site of metastasis: pleural effusion - Ascites - Pericardial effusion.
* Concomitant steroid intake for \> 4 weeks
* Bilirubin two times above the normal range

The above information is not intended to contain all considerations relevant to a patient's potential participation in a clinical trial.",TERMINATED,"The results of a same study design have shown low response with important side effects. Accordingly \& ethicly, the study has been stopped.",0
